LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
2,0502,0560,6,2,1,1,BA7,BG01,1,2146.70,7
2,0502,0568,6,2,1,1,BA12,BG02,1,2146.70,7
1,0503,0501,6,1,1,1,BA1,BS01,1,1954.40,10
1,0503,0502,6,1,3,1,BA020*,BS020*,4,1986.50,10
1,0503,0504,6,1,3,2,BA040*,BS040*,3,1986.50,10
1,0503,0509,6,1,1,2,BA5,BS01,1,1954.40,11
1,0503,0566,6,1,1,2,TP4,BS92,1,1890.40,12
2,0503,0505,6,2,1,2,BA3,BG01,1,2050.60,9
2,0503,0508,6,2,3,1,BA080*,BG080*,3,2082.60,8
2,0503,0561,6,2,1,2,TP3,BG92,1,2050.60,8
1,0504,0501,6,1,1,1,BA2,BS02,1,1986.50,10
1,0504,0502,6,1,3,1,BA020*,BS020*,4,1986.50,10
1,0504,0509,6,1,1,2,BA5,BS01,1,1954.40,11
1,0504,0560,6,1,1,1,BA8,BS02,1,2018.50,10
1,0504,0566,6,1,1,2,TP4,BS92,1,1890.40,12
2,0504,0508,6,2,3,1,BA080*,BG080*,3,2082.60,8
2,0504,0568,6,2,1,1,BA12,BG02,1,2146.70,7
1,0505,0501,6,1,1,1,BA2,BS02,1,1986.50,10
2,0505,0566,6,2,1,1,TP4,BG91,1,2114.60,7
2,0506,0505,6,2,1,2,BA4,BG02,1,2034.50,10
1,0507,0507,6,1,1,2,TP2,BS93,1,1954.40,11
1,0507,0560,6,1,1,1,BA7,BS01,1,2002.50,9
2,0507,0502,6,2,1,2,TP1,BG92,1,2002.50,10
2,0507,0504,6,2,3,2,BA040*,BG040*,3,2066.60,10
2,0507,0508,6,2,3,1,BA08**,BG08**,3,2082.60,8
2,0507,0566,6,2,1,1,TP4,BG91,1,2114.60,7
1,0508,0501,6,1,1,1,BA1,BS01,1,1954.40,10
1,0508,0504,6,1,3,2,BA040*,BS040*,3,1986.50,10
1,0508,0508,6,1,3,1,BA080*,BS080*,3,2018.50,9
2,0508,0501,6,2,1,1,BA1,BG01,1,2050.60,9
2,0508,0502,6,2,3,1,BA020*,BG020*,4,2066.60,8
2,0508,0504,6,2,3,2,BA04**,BG04**,3,2082.60,8
2,0508,0508,6,2,3,1,BA08**,BG08**,3,2082.60,8
2,0508,0564,6,2,1,2,BA9,BG01,1,2146.70,7
1,0509,0502,6,1,1,2,TP1,BS93,1,1922.40,10
1,0509,0505,6,1,1,2,BA4,BS02,1,1970.50,12
1,0509,0566,6,1,1,2,TP4,BS92,1,1890.40,12
2,0509,0502,6,2,3,1,BA020*,BG020*,4,2066.60,8
2,0509,0508,6,2,3,1,BA080*,BG080*,3,2082.60,8
2,0509,0509,6,2,1,2,BA5,BG01,1,2050.60,9
1,0559,0568,6,1,1,1,BA12,BS02,1,1954.40,11
2,0559,0502,6,2,1,2,TP1,BG92,1,2002.50,10
2,0559,0508,6,2,3,1,BA080*,BG080*,3,2082.60,8
2,0560,0509,6,2,1,2,BA6,BG02,1,2002.50,9
1,0561,0502,6,1,3,1,BA020*,BS020*,4,1986.50,10
1,0561,0560,6,1,1,1,BA7,BS01,1,2002.50,9
2,0561,0502,6,2,3,1,BA02**,BG02**,4,2066.60,8
1,0566,0505,6,1,1,2,BA3,BS01,1,1986.50,10
1,0566,0507,6,1,1,2,TP2,BS93,1,1954.40,11
1,0566,0509,6,1,1,2,BA5,BS01,1,1954.40,11
2,0566,0502,6,2,1,2,TP1,BG92,1,2002.50,10
1,0567,0504,6,1,3,2,BA040*,BS040*,3,1986.50,10
1,0567,0505,6,1,1,2,BA4,BS02,1,1970.50,12
1,0567,0507,6,1,1,2,TP2,BS93,1,1954.40,11
1,0567,0509,6,1,1,2,BA6,BS02,1,1954.40,10
2,0567,0504,6,2,3,2,BA04**,BG04**,3,2082.60,8
2,0567,0507,6,2,1,2,TP2,BG92,1,2018.50,10
2,0567,0564,6,2,1,2,BA10,BG02,1,2130.70,7
2,0568,0502,6,2,1,2,TP1,BG92,1,2002.50,10
2,0568,0504,6,2,3,2,BA04**,BG04**,3,2082.60,8
2,0568,0564,6,2,1,2,BA10,BG02,1,2130.70,7
1,0569,0502,6,1,1,2,TP1,BS93,1,1922.40,10
1,0569,0505,6,1,1,2,BA4,BS02,1,1970.50,12
1,0569,0508,6,1,3,1,BA080*,BS080*,3,2018.50,9
1,0569,0566,6,1,1,2,TP4,BS92,1,1890.40,12
2,0569,0505,6,2,1,2,BA4,BG02,1,2034.50,10
1,0570,0502,6,1,3,1,BA020*,BS020*,4,1986.50,10
1,0570,0507,6,1,1,2,TP2,BS93,1,1954.40,11
1,0571,0505,6,1,1,2,BA4,BS02,1,1970.50,12
1,0571,0508,6,1,3,1,BA080*,BS080*,3,2018.50,9
2,3811,3811,12,2,1,1,BA*,BG**,1,1826.30,11
1,3995,3995,12,1,1,2,TP1,BS55,1,1650.10,13
2,0571,0501,6,2,1,1,BA1,BG01,1,2050.60,9
2,0571,0504,6,2,3,2,BA04**,BG04**,3,2082.60,8
2,0571,0561,6,2,1,2,TP3,BG92,1,2050.60,8
1,0603,0659,6,1,3,1,BA262,BS262,4,1794.20,12
1,0603,3005,6,1,1,1,BA*,BS**,1,1826.30,14
1,0604,0659,6,1,3,1,BA262,BS262,4,1794.20,12
1,0605,0606,6,1,3,2,BAX01,BSX01,6,1800.60,12
1,0605,3005,6,1,1,1,BA*,BS**,1,1826.30,14
1,0659,0659,6,1,3,1,BA262,BS262,4,1794.20,12
1,0660,0660,6,1,3,1,BA261,BS261,8,1634.00,16
1,0811,0811,6,1,1,1,B7,BS07,1,1826.30,11
1,0812,0812,6,1,1,2,B8,BS08,1,1746.20,14
2,1253,1253,6,2,1,1,BA*,BG**,1,2242.80,6
1,2002,2002,6,1,1,2,TP1,BS92,1,1730.20,15
2,2038,2038,6,2,1,2,TP1,BG91,1,2290.90,7
2,2038,2038,6,2,1,1,BA*,BG**,1,2387.00,6
1,2041,2041,6,1,1,2,TP1,BS92,1,2034.50,9
2,2041,2041,6,2,1,2,TP1,BG91,1,2226.80,5
1,2647,2647,6,1,1,1,BA*,BS**,1,2066.60,10
2,2647,2647,6,2,1,2,TP1,BG91,1,2082.60,9
1,3010,3010,6,1,1,2,BA*,BS**,1,2050.60,10
1,3013,3013,6,1,1,2,BA*,BS**,1,1970.50,11
1,3017,3017,6,1,1,1,BA*,BS**,1,2066.60,10
1,3021,3021,6,1,1,1,BA*,BS**,1,1922.40,9
2,3021,3021,6,2,1,1,BA*,BG**,1,2050.60,9
1,3024,3024,6,1,1,1,BA*,BS**,1,2114.60,8
2,3024,3024,6,2,1,1,BA*,BG**,1,2194.70,7
2,8150,8150,6,2,1,1,BA*,BG**,1,2114.60,8
1,8151,8151,6,1,1,1,BA*,BS**,1,2018.50,8
1,A310,1253,6,1,1,2,TP1,BS92,1,1970.50,13
2,A310,1253,6,2,1,2,TP1,BG91,1,2258.80,5
1,A321,1253,6,1,1,1,BA*,BS**,1,1938.40,12
2,A330,1253,6,2,1,2,TP1,BG91,1,2258.80,5
1,A340,1253,6,1,1,2,TP1,BS92,1,1970.50,13
2,A353,1253,6,2,1,2,TP1,BG91,1,2258.80,5
2,A421,3021,6,2,1,2,BA*,BG**,1,2114.60,8
1,A422,3021,6,1,1,1,BA*,BS**,1,1922.40,9
1,A430,3021,6,1,1,2,BA*,BS**,1,1938.40,11
1,A430,3021,6,1,1,1,BA*,BS**,1,1922.40,9
1,A441,3021,6,1,1,1,BA*,BS**,1,1922.40,9
2,A443,3021,6,2,1,2,BA*,BG**,1,2114.60,8
1,A805,A805,6,1,3,1,BA261,BS261,1,1815.10,12
2,A805,A806,6,2,3,1,BA262,BG262,1,2226.80,6
2,A805,A806,6,2,1,1,B10,BG10,1,2242.80,6
1,A806,A805,6,1,3,1,BA261,BS261,1,1815.10,12
1,A806,A806,6,1,1,1,B6,BS06,1,1826.30,10
2,A806,A805,6,2,3,1,BA261,BG261,1,2180.30,6
2,A806,A805,6,2,1,1,B9,BG09,1,2258.80,6
2,A806,A806,6,2,3,2,BA263,BG263,1,2258.80,6
2,A806,A806,6,2,1,1,B10,BG10,1,2242.80,6
2,B411,7455,6,2,1,2,BA6,BG06,1,2242.80,4
1,B412,7455,6,1,1,2,BA6,BS06,1,1778.20,15
1,B412,7455,6,1,1,1,BA1,BS01,1,1794.20,15
2,B412,7455,6,2,1,1,BA*,BG**,1,2274.80,5
1,B420,7455,6,1,1,1,BA1,BS01,1,1794.20,15
1,B430,7455,6,1,1,1,BA1,BS01,1,1794.20,15
2,B441,7455,6,2,1,1,BA*,BG**,1,2274.80,5
2,0214,0221,8,2,1,2,B12,BG12,1,2130.70,6
2,0214,0224,8,2,1,2,B11,BG11,1,2226.80,6
1,0216,0216,8,1,1,2,B1,BS01,1,1906.40,10
2,0223,0214,8,2,1,2,B10,BG10,1,2258.80,7
2,0223,0221,8,2,5,1,BAX04,BGX04,1,2186.70,6
2,0223,0221,8,2,1,2,B12,BG12,1,2130.70,6
2,0223,0224,8,2,1,2,B11,BG11,1,2226.80,6
2,0224,0221,8,2,5,1,BAX04,BGX04,1,2186.70,6
1,0812,0812,8,1,1,2,B203,BS203,1,2018.50,9
2,3032,3032,8,2,1,2,BA*,BG**,1,2258.80,5
1,6013,6013,8,1,1,1,BA*,BS**,1,2018.50,10
1,7780,7780,8,1,1,1,BA*,BS**,1,2098.60,8
3,7783,7783,8,3,1,1,BA*,BG**,1,2210.80,6
2,1803,1803,9,2,1,2,TP1,BG55,1,2178.70,5
1,5001,5001,9,1,1,2,BX04,BSX04,1,2002.50,9
1,0102,0108,10,1,1,1,B5,BS05,1,1922.40,11
1,0502,4155,1,1,1,1,BA*,BS**,1,2002.50,10
1,0503,0506,1,1,4,2,BA301,BS301,2,2034.50,9
2,0503,0502,1,2,1,1,TP1,BG56,1,2018.50,9
2,0504,0506,1,2,4,2,BA303,BG306,2,2117.80,7
2,0504,0506,1,2,4,2,BA301,BG302,2,2177.10,7
2,0504,4155,1,2,1,1,BA*,BG**,1,2242.80,5
3,0504,0503,1,3,4,1,BA308,BG319,2,2194.70,6
1,0505,0506,1,1,4,2,BA301,BS301,2,2034.50,9
1,0505,0506,1,1,4,2,BA302,BS302,2,2050.60,9
2,0505,0502,1,2,1,1,TP1,BG56,1,2018.50,9
2,0505,0504,1,2,4,2,BA306,BG314,2,2074.60,8
1,0506,0506,1,1,4,2,BA301,BS301,2,2034.50,9
1,0506,4155,1,1,1,2,BA*,BS**,1,2018.50,11
3,0506,0506,1,3,4,2,BA302,BG303,2,2212.40,6
1,0507,0502,1,1,1,1,TP1,BS55,1,2042.60,9
2,0508,0504,1,2,4,2,BA304,BG310,2,2069.80,9
2,0508,0504,1,2,4,2,BA305,BG312,2,2037.70,9
2,0508,0506,1,2,4,2,BA301,BG302,2,2177.10,7
3,0508,0506,1,3,4,2,BA301,BG301,2,2209.20,6
1,0509,0506,1,1,4,2,BA301,BS301,2,2034.50,9
2,0563,0506,1,2,4,2,BA303,BG306,2,2117.80,7
2,0563,0506,1,2,4,2,BA302,BG304,2,2153.10,6
1,0564,4155,1,1,1,2,BA*,BS**,1,2018.50,11
2,0564,0504,1,2,4,2,BA306,BG314,2,2074.60,8
1,0603,0606,1,1,1,3,TP2,BS58,2,1682.10,15
1,0604,0606,1,1,3,2,BAX04,BSX04,2,1744.60,14
1,0604,0606,1,1,3,1,BAX02,BSX02,2,1858.30,14
1,0606,0606,1,1,3,2,BAX03,BSX03,2,1803.90,14
2,0661,0607,1,2,1,2,BA2,BG02,2,2306.90,6
2,0662,0605,1,2,1,3,TP1,BG57,2,2306.90,5
2,0662,0606,1,2,1,3,TP2,BG58,2,2322.90,7
2,0662,0607,1,2,1,2,BA2,BG02,2,2306.90,6
3,1001,1001,1,3,1,2,TP1,BG55,1,2226.80,6
2,1011,1011,1,2,1,1,BA*,BG**,1,2002.50,10
1,4129,4129,1,1,1,2,TP1,BS55,2,1906.40,14
1,4129,4129,1,1,1,1,BA*,BS**,2,1890.40,14
1,A310,4125,1,1,1,1,BA*,BS**,1,2034.50,10
1,A340,4125,1,1,1,1,BA*,BS**,1,2034.50,10
1,A350,4125,1,1,1,1,BA*,BS**,1,2034.50,10
1,B310,1019,1,1,1,1,BA*,BS**,1,2018.50,9
2,B340,1019,1,2,1,1,BA*,BG**,1,2162.70,6
2,B350,1019,1,2,1,2,TP1,BG55,1,2162.70,6
1,C310,4155,1,1,1,2,BA*,BS**,1,2018.50,11
2,C320,4155,1,2,1,1,BA*,BG**,1,2242.80,5
2,C330,4155,1,2,1,2,BA*,BG**,1,2242.80,6
2,C330,4155,1,2,1,1,BA*,BG**,1,2242.80,5
2,C350,4155,1,2,1,1,BA*,BG**,1,2242.80,5
3,1002,1002,2,3,1,1,TP1,BG91,1,2290.90,6
3,1008,1008,2,3,1,1,BA1,BG01,1,2226.80,6
3,9035,9035,2,3,1,1,TP2,BG81,1,2306.90,5
1,0115,0115,4,1,1,2,B303,BS03,1,2114.60,9
1,0117,0114,4,1,1,2,B309,BS09,1,2130.70,8
2,0117,0118,4,2,1,2,B312,BG12,1,2274.80,6
2,0117,0120,4,2,1,2,B316,BG16,1,2258.80,4
1,0119,0119,4,1,1,2,B307,BS07,1,2210.80,8
2,0119,0160,4,2,1,2,B302,BG02,1,2274.80,5
1,0120,0120,4,1,1,2,B315,BS15,1,1922.40,13
2,0120,0118,4,2,1,2,B312,BG12,1,2274.80,6
1,0122,0116,4,1,1,2,B310,BS10,1,2162.70,8
1,0122,0119,4,1,1,2,B307,BS07,1,2210.80,8
1,0123,0123,4,1,1,2,B306,BS06,1,2162.70,8
1,0124,0116,4,1,1,2,B310,BS10,1,2162.70,8
1,0124,0117,4,1,1,2,B304,BS04,1,2146.70,8
2,0160,0119,4,2,1,2,B308,BG08,1,2274.80,5
2,0161,0160,4,2,1,2,B302,BG02,1,2274.80,5
1,0163,0160,4,1,1,2,B301,BS01,1,2178.70,8
1,0213,0216,4,1,1,2,B306,BS06,1,2082.60,9
1,0217,0213,4,1,1,2,B311,BS61,1,2050.60,10
1,0219,0213,4,1,1,2,B311,BS61,1,2050.60,10
1,0221,0261,4,1,1,2,B301,BS01,1,1986.50,10
2,0221,0215,4,2,1,2,B307,BG07,1,2290.90,6
2,0221,0260,4,2,1,2,B318,BG18,1,2290.90,6
2,0222,0215,4,2,1,2,B307,BG07,1,2290.90,6
1,0223,0213,4,1,1,2,B311,BS61,1,2050.60,10
1,0223,0217,4,1,1,2,B309,BS09,1,2050.60,10
1,0223,0223,4,1,1,2,B308,BS08,1,2082.60,10
2,0223,0214,4,2,1,2,B302,BG02,1,2274.80,6
1,0224,0265,4,1,1,2,B315,BS15,1,1970.50,12
1,0224,0267,4,1,1,2,B316,BS16,1,1986.50,10
2,0224,0224,4,2,1,2,B305,BG05,1,2290.90,6
2,0260,0221,4,2,1,2,B310,BG10,1,2274.80,6
2,0260,0224,4,2,1,2,B305,BG05,1,2290.90,6
2,0261,0215,4,2,1,2,B307,BG07,1,2290.90,6
2,0261,0221,4,2,1,2,B310,BG10,1,2274.80,6
2,0262,0224,4,2,1,2,B305,BG05,1,2290.90,6
1,0263,0220,4,1,1,2,B304,BS04,1,1970.50,12
1,0263,0222,4,1,1,2,B303,BS03,1,2034.50,11
1,0263,0263,4,1,1,2,B313,BS13,1,1954.40,11
2,0263,0260,4,2,1,2,B318,BG18,1,2290.90,6
1,0264,0220,4,1,1,2,B304,BS04,1,1970.50,12
2,0264,0262,4,2,1,2,B312,BG12,1,2258.80,5
1,0265,0222,4,1,1,2,B303,BS03,1,2034.50,11
1,0266,0265,4,1,1,2,B315,BS15,1,1970.50,12
1,0267,0263,4,1,1,2,B313,BS13,1,1954.40,11
1,0501,0509,4,1,1,1,BA*,BS*2,1,2082.60,8
2,0501,0509,4,2,4,3,TP1,MG01,6,2082.60,9
1,0502,0559,4,1,1,2,BA*,BS*4,1,1986.50,10
2,0502,0506,4,2,4,3,TP2,MG02,7,2066.60,9
2,0502,0509,4,2,1,2,BA*,BG*6,1,2210.80,5
1,0503,0505,4,1,1,2,BA*,BS*3,1,2018.50,9
1,0503,0506,4,1,4,3,TP2,MS02,7,2162.70,7
2,0503,0502,4,2,1,2,TP2,BG91,1,2114.60,7
1,0504,0502,4,1,1,2,TP2,BS92,1,2050.60,8
1,0504,0504,4,1,1,2,TP1,BS92,1,2146.70,7
1,0504,0505,4,1,1,2,BA*,BS*3,1,2018.50,9
1,0504,0509,4,1,1,1,BA*,BS*2,1,2082.60,8
2,0504,0507,4,2,1,1,BA*,BG*5,1,2210.80,6
2,0504,0509,4,2,1,1,BA*,BG*2,1,2050.60,8
1,0505,0509,4,1,1,1,BA*,BS*2,1,2082.60,8
2,0505,0505,4,2,1,2,BA*,BG*3,1,2066.60,8
2,0505,0509,4,2,4,3,TP1,MG01,6,2082.60,9
2,0506,0509,4,2,1,2,BA*,BG*6,1,2210.80,5
2,0507,0507,4,2,1,1,BA*,BG*1,1,2066.60,8
1,0508,0504,4,1,1,2,TP1,BS92,1,2146.70,7
1,0508,0509,4,1,1,1,BA*,BS*2,1,2082.60,8
1,0509,0502,4,1,1,2,TP2,BS92,1,2050.60,8
1,0509,0504,4,1,1,2,TP1,BS92,1,2146.70,7
1,0559,0504,4,1,1,2,TP1,BS92,1,2146.70,7
2,0559,0504,4,2,1,2,TP1,BG91,1,2082.60,7
2,0559,0508,4,2,3,1,BA261,BG261,5,2156.30,6
1,0560,0507,4,1,1,1,BA*,BS*1,1,2130.70,7
1,0560,0509,4,1,1,1,BA*,BS*2,1,2082.60,8
2,0560,0502,4,2,1,2,TP2,BG91,1,2114.60,7
2,0560,0509,4,2,1,1,BA*,BG*2,1,2050.60,8
2,0560,0509,4,2,1,2,BA*,BG*6,1,2210.80,5
2,0601,0608,4,3,1,2,BA*,BG*1,1,2194.70,6
3,0602,0603,4,2,1,2,BA*,BG*4,1,2194.70,6
3,0602,0608,4,3,1,2,BA*,BG*1,1,2194.70,6
2,0604,0604,4,2,1,1,BA*,BG*2,1,2242.80,6
2,0605,0608,4,2,1,2,BA*,BG*5,1,2130.70,8
2,0607,0662,4,2,1,2,BA*,BG*7,1,2162.70,7
3,0607,0603,4,2,1,2,BA*,BG*4,1,2194.70,6
2,0660,0662,4,3,1,2,BA*,BG*3,1,2210.80,6
2,0661,0608,4,3,1,2,BA*,BG*1,1,2194.70,6
3,0662,0608,4,3,1,2,BA*,BG*1,1,2194.70,6
2,0663,0603,4,2,1,2,BA*,BG*4,1,2194.70,6
2,0664,0604,4,2,1,1,BA*,BG*2,1,2242.80,6
2,0665,0608,4,3,1,2,BA*,BG*1,1,2194.70,6
2,0667,0608,4,3,1,2,BA*,BG*1,1,2194.70,6
1,1002,1002,4,1,1,1,BA*,BS**,1,1762.20,14
2,1006,1006,4,2,1,2,TP1,BG91,1,2002.50,8
1,1018,1018,4,1,1,2,TP1,BS92,2,1762.20,17
1,1021,1021,4,1,1,1,BA*,BS**,1,2034.50,10
1,1024,1024,4,1,1,2,TP1,BS92,2,1906.40,11
1,1036,1036,4,1,1,1,BA*,BS**,1,2018.50,9
1,1037,1037,4,1,1,1,BA*,BS**,1,2114.60,7
2,6053,6053,4,2,1,1,BA*,BG**,1,2210.80,6
1,6055,6055,4,1,1,1,BA1,BS63,1,2002.50,9
2,6060,6060,4,2,1,1,BA*,BG**,2,2130.70,7
1,7079,7079,4,1,1,2,TP2,BS92,1,1826.30,13
1,7079,7079,4,1,1,1,TP1,BS92,1,1826.30,14
1,A310,1036,4,1,1,1,BA*,BS**,1,2018.50,9
2,A320,1036,4,2,1,2,TP1,BG70,1,2098.60,8
2,A330,1036,4,2,1,2,TP1,BG70,1,2098.60,8
2,A390,1036,4,2,1,1,BA*,BG**,1,2130.70,6
1,A443,7613,4,1,1,2,BA*,BS**,1,1794.20,16
1,A449,7613,4,1,1,2,BA*,BS**,1,1794.20,16
1,A455,7613,4,1,1,1,BA*,BS**,1,1986.50,10
1,A460,7613,4,1,1,1,BA*,BS**,1,1986.50,10
2,A901,A901,4,2,1,2,B323,BG23,1,2258.80,5
2,A902,A901,4,2,1,2,B323,BG23,1,2258.80,5
1,B320,1021,4,1,1,1,BA*,BS**,1,2034.50,10
2,B902,1007,4,2,1,1,BA*,BG**,1,2162.70,7
1,B903,1007,4,1,1,2,TP1,BS91,1,2018.50,10
2,B960,1007,4,2,1,2,TP1,BG91,1,2178.70,7
2,C340,1017,4,2,1,2,TP1,BG91,2,2098.60,7
1,D310,1016,4,1,1,1,BA*,BS**,1,1986.50,10
1,D320,1016,4,1,1,1,BA*,BS**,1,1986.50,10
2,D320,1016,4,2,1,2,TP1,BG91,1,2146.70,8
2,D330,1016,4,2,1,2,TP1,BG91,1,2146.70,8
1,D350,1016,4,1,1,2,TP1,BS92,1,1938.40,12
2,D350,1016,4,2,1,2,TP1,BG91,1,2146.70,8
1,0114,0117,5,1,7,2,BA*,BS**,1,1842.30,14
1,0115,0118,5,1,1,2,B4,BS04,1,1714.10,14
1,0119,0121,5,1,1,2,B2,BS02,1,1858.30,12
1,0120,0114,5,1,5,1,BA*,BS**,1,1938.40,12
1,0120,0117,5,1,7,1,BA*,BS**,1,1730.20,14
1,0121,0117,5,1,7,2,BA*,BS**,1,1842.30,14
1,0121,0117,5,1,7,1,BA*,BS**,1,1730.20,14
1,0121,0119,5,1,1,2,B1,BS01,1,1874.30,12
1,0122,0114,5,1,5,2,BA*,BS**,1,1794.20,11
3,0213,0213,5,3,1,3,B6,BG03,1,1938.40,12
2,4021,4021,5,2,1,2,BA*,BG**,1,2082.60,9
2,5805,5805,5,2,1,2,BA*,BG**,1,1986.50,10
3,A430,4021,5,3,1,2,BA*,BG**,1,2210.80,7
1,B430,4019,5,1,1,2,BA*,BS**,1,1746.20,13
1,0201,0202,6,1,1,2,B11,BS11,1,1826.30,11
1,0201,0210,6,1,1,1,B10,BS10,1,1826.30,11
2,0201,0212,6,2,1,1,B15,BG15,1,2178.70,8
2,0202,0202,6,2,1,2,B11,BG11,1,2178.70,8
1,0203,0203,6,1,3,1,BA261,BS261,3,1851.90,10
1,0208,0204,6,1,1,2,B12,BS12,1,1842.30,10
1,0209,0204,6,1,1,2,B12,BS12,1,1842.30,10
2,0210,0211,6,2,1,1,B13,BG13,1,2226.80,7
2,0211,0202,6,2,1,2,B11,BG11,1,2178.70,8
2,0211,0211,6,2,1,1,B13,BG13,1,2226.80,7
1,0212,0210,6,1,1,1,B10,BS10,1,1826.30,11
2,0212,0210,6,2,1,2,B14,BG14,1,2226.80,7
1,0501,0501,6,1,1,1,BA1,BS01,1,1954.40,10
1,0501,0560,6,1,1,1,BA8,BS02,1,2018.50,10
2,0501,0502,6,2,3,1,BA02**,BG02**,4,2066.60,8
2,0501,0566,6,2,1,1,TP4,BG91,1,2114.60,7
2,0502,0504,6,2,3,2,BA04**,BG04**,3,2082.60,8
2,0502,0505,6,2,1,2,BA3,BG01,1,2050.60,9
3,1013,1013,26,3,1,1,BX02,BGX02,2,2226.80,6
1,6016,6016,26,1,1,1,BX03,BSX03,1,1938.40,9
3,9030,9030,26,3,1,1,BX03,BGX03,1,2274.80,7
3,A310,1013,26,3,1,2,TP1,BG55,2,2194.70,6
3,A340,1013,26,3,1,1,BX02,BGX02,2,2226.80,6
2,C320,1001,26,2,1,2,TP1,BG56,1,2194.70,6
2,C330,1001,26,2,1,1,BX01,BGX01,1,2242.80,6
2,C350,1001,26,2,1,2,TP1,BG56,1,2194.70,6
2,C350,1001,26,2,1,1,BX01,BGX01,1,2242.80,6
1,C351,1001,26,1,1,2,TP1,BS55,1,1698.10,16
3,0503,0507,27,3,3,2,BAX07,BGX07,6,2204.40,6
1,0507,0504,27,1,1,2,BAX02,BSX02,5,1845.50,13
3,0507,0501,27,3,1,1,TP4,BG55,1,2130.70,8
3,0507,0505,27,3,1,1,TP2,BG59,1,2114.60,8
2,0701,0709,27,2,1,2,TP3,BG18,1,1778.20,13
3,0701,0701,27,3,1,2,TP1,BG13,1,2146.70,7
1,0702,0701,27,1,1,2,TP1,BS01,1,1890.40,13
3,0702,0709,27,3,1,2,TP3,BG17,1,2146.70,6
1,0709,0701,27,1,1,2,TP1,BS01,1,1890.40,13
2,0759,0701,27,2,1,2,TP1,BG14,1,2002.50,10
2,1016,1016,27,2,1,2,TP1,BG55,1,2242.80,6
1,1018,1018,27,1,1,2,TP1,BS55,1,1858.30,11
2,1018,1018,27,2,1,2,TP1,BG55,1,2210.80,6
1,1019,1019,27,1,1,1,BA1,BS01,1,1842.30,10
2,1019,1019,27,2,1,1,BA1,BG01,1,2146.70,6
3,1023,1023,27,3,1,2,TP1,BG55,1,2098.60,8
1,3013,3013,27,1,1,2,TP1,BS55,1,1714.10,9
2,4034,4034,27,2,1,1,TP2,BG56,1,2226.80,7
1,4054,4054,27,1,1,2,BX04,BSX04,1,2098.60,7
2,4082,4082,27,2,1,1,BX01,BGX01,1,2162.70,7
2,5076,5076,27,2,1,2,BA4,BG04,1,2130.70,6
2,5076,5076,27,2,1,1,BX01,BGX01,1,2162.70,6
2,6251,6251,27,2,1,2,TP1,BG55,1,2162.70,9
1,A310,1016,27,1,1,2,TP1,BS55,1,1874.30,13
2,A320,1016,27,2,1,1,BX01,BGX01,1,2226.80,6
1,A340,1016,27,1,1,2,TP1,BS55,1,1874.30,13
1,A340,1016,27,1,1,1,BX02,BSX02,1,1922.40,11
1,A350,1016,27,1,1,1,BX02,BSX02,1,1922.40,11
2,A350,1016,27,2,1,2,TP1,BG55,1,2242.80,6
1,B340,6251,27,1,1,1,BX02,BSX02,1,1858.30,11
2,B340,6251,27,2,1,1,BX01,BGX01,1,2082.60,9
1,C330,1028,27,1,1,1,BA1,BS01,1,1858.30,7
2,D320,1019,27,2,1,1,BA1,BG01,1,2146.70,6
2,D340,1019,27,2,1,1,BA1,BG01,1,2146.70,6
1,1016,1016,28,1,1,1,BA*,BS**,1,1906.40,13
1,3081,3081,28,1,1,2,BA*,BS**,2,1666.10,19
1,3085,3085,28,1,1,2,BA*,BS**,1,1938.40,11
1,3087,3087,28,1,1,1,BA*,BS**,1,1666.10,14
2,5025,5025,28,2,1,1,BA*,BG**,1,2178.70,5
1,A330,1802,28,1,1,2,TP1,BS55,1,1954.40,10
2,0502,0506,29,2,3,2,BAX01,BGX01,2,2306.90,5
2,0502,0509,29,2,3,2,BAX02,BGX02,2,2322.90,5
2,0503,0508,29,2,1,2,BAX17,BGX17,1,2338.90,5
1,0504,0506,29,1,3,2,BAX04,BSX04,2,1698.10,18
1,0504,0509,29,1,3,2,BAX05,BSX05,2,1794.20,15
1,0505,0506,29,1,1,1,BAX16,BSX16,1,1570.00,22
1,0506,0502,29,1,1,1,BX02,BSX02,1,1698.10,16
1,0506,0509,29,1,3,2,BAX05,BSX05,2,1794.20,15
2,0507,0506,29,2,3,2,BAX01,BGX01,2,2306.90,5
1,0508,0506,29,1,3,1,BAX06,BSX06,2,1810.30,15
1,0508,0509,29,1,3,2,BAX05,BSX05,2,1794.20,15
2,0508,0506,29,2,3,1,BAX03,BGX03,2,2290.90,5
2,0509,0502,29,2,1,1,BX01,BGX01,1,2306.90,5
3,0502,0503,23,3,3,2,BAX01,BGX01,3,2175.50,6
1,0503,0507,23,1,3,2,BA303,BS303,3,2119.40,7
1,0504,0507,23,1,3,2,BA303,BS303,3,2119.40,7
2,0504,0504,23,2,3,1,BAX03,BGX03,3,2186.70,6
3,0504,0503,23,3,3,2,BAX01,BGX01,3,2175.50,6
3,0504,0559,23,3,1,2,TP2,BG57,1,2226.80,7
