LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,VISUAL_CLASS
1,1370,1370,12,1,1,2,TP1,BS55,1,214
2,3995,3995,12,2,1,1,BA*,BG**,1,309
1,3996,3996,12,1,1,2,TP1,BS55,1,202
1,3997,3997,12,1,1,2,TP1,BS55,1,204
2,3997,3997,12,2,1,1,BA*,BG**,1,309
1,4000,4000,12,1,1,1,BA*,BS**,1,214
1,4059,4059,12,1,1,2,BA*,BS**,1,202
1,4059,4059,12,1,1,1,BA*,BS**,1,202
1,4100,4100,12,1,1,1,BA*,BS**,1,204
1,4107,4107,12,1,1,2,TP1,BS55,1,204
1,4109,4109,12,1,1,2,BA*,BS**,1,202
3,4136,4136,12,3,1,2,TP1,BG55,1,337
3,9054,9054,12,3,1,2,TP1,BG55,1,337
3,9054,9054,12,3,1,1,BA*,BG**,1,337
1,A321,9054,12,1,1,2,TP1,BS55,1,202
2,A330,9054,12,2,1,2,TP1,BG56,1,310
3,A330,9054,12,3,1,1,BA*,BG**,1,337
3,A350,9054,12,3,1,2,TP1,BG55,1,337
3,A350,9054,12,3,1,1,BA*,BG**,1,337
2,A352,9054,12,2,1,1,BA*,BG**,1,310
3,B310,3997,12,3,1,1,BA*,BG**,1,308
3,B320,3997,12,3,1,1,BA*,BG**,1,308
1,B321,3997,12,1,1,2,TP1,BS55,1,204
2,B321,3997,12,2,1,2,TP1,BG56,1,309
3,B321,3997,12,3,1,1,BA*,BG**,1,308
3,B330,3997,12,3,1,1,BA*,BG**,1,308
3,B350,3997,12,3,1,2,TP1,BG55,1,308
1,B351,3997,12,1,1,1,BA*,BS**,1,204
2,B352,3997,12,2,1,2,TP1,BG56,1,309
2,C320,4154,12,2,1,2,TP1,BG55,2,310
1,C321,4154,12,1,1,2,TP1,BS55,2,204
2,C321,4154,12,2,1,2,TP1,BG55,2,310
2,B443,7455,6,2,1,1,BA*,BG**,1,308
1,B451,7455,6,1,1,2,BA6,BS06,1,117
1,B452,7455,6,1,1,2,BA6,BS06,1,117
2,B453,7455,6,2,1,1,BA*,BG**,1,308
2,214,222,8,2,5,1,BAX05,BGX05,4,308
1,224,259,8,1,1,3,A18,TS35,1,113
2,224,221,8,2,1,2,B12,BG12,1,304
1,259,259,8,1,1,3,A17,TS33,1,113
1,502,508,8,1,1,2,BA*,BS*1,1,216
1,509,508,8,1,1,1,BA*,BS*1,1,216
1,812,812,8,1,5,1,BA265,BS265,1,216
1,812,812,8,1,1,3,A206,TS211,1,214
2,3032,3032,8,2,1,1,BA*,BG**,1,265
2,6013,6013,8,2,1,1,BA*,BG**,1,215
3,7783,7783,8,3,1,1,BA*,BG**,1,304
2,901,961,9,2,1,2,A02A61,BG04A61,1,203
3,901,901,9,3,1,2,A02A01,BG02A01,1,308
3,901,960,9,3,1,2,A02A60,BG02A60,1,308
3,901,962,9,3,1,1,A01A62,BG01A62,1,308
1,902,902,9,1,1,1,A01A02,BS01A02,1,203
1,902,962,9,1,1,1,A01A62,BS01A62,1,203
3,902,902,9,3,1,2,A02A02,BG02A02,1,308
3,902,902,9,3,1,1,A01A02,BG01A02,1,308
3,902,961,9,3,1,2,A02A61,BG02A61,1,308
3,902,962,9,3,1,2,A02A62,BG02A62,1,308
1,903,961,9,1,1,1,A01A61,BS01A61,1,203
2,903,903,9,2,1,2,A02A03,BG04A03,1,203
3,903,902,9,3,1,2,A02A02,BG02A02,1,308
1,108,108,10,1,1,1,B5,BS05,1,214
1,108,112,10,1,1,3,A11,TS22,1,145
1,108,112,10,1,1,1,B4,BS04,1,294
2,108,109,10,2,2,2,BAX06,BSX06,2,214
1,109,103,10,1,1,1,B3,BS03,1,135
1,109,104,10,1,1,3,A19,TS37,1,145
1,109,107,10,1,1,1,B1,BS01,1,214
1,109,108,10,1,1,1,B5,BS05,1,214
1,110,107,10,1,1,3,A3,TS05,1,200
1,110,108,10,1,1,3,A14,TS28,1,216
1,110,112,10,1,1,3,A11,TS22,1,145
2,110,111,10,2,2,2,BAX08,BSX08,2,214
1,111,107,10,1,1,3,A3,TS05,1,200
1,111,112,10,1,1,3,A11,TS22,1,145
1,111,112,10,1,1,1,B4,BS04,1,294
2,111,103,10,2,1,1,A9,TS17,1,145
2,111,159,10,2,1,3,A17,TS33,1,204
1,112,102,10,1,1,3,A6,TS11,1,200
1,112,112,10,1,1,3,A12,TS23,1,200
1,159,108,10,1,1,1,B5,BS05,1,214
2,159,107,10,2,1,1,B8,BS08,1,204
1,160,104,10,1,1,1,B7,BS07,1,214
2,160,104,10,2,2,2,BAX09,BSX09,2,205
1,201,201,10,1,1,2,B12,BS06,1,214
1,201,207,10,1,1,3,A11,TS21,1,145
1,201,212,10,1,2,3,A6,TS11,1,214
2,201,201,10,2,2,2,B15,BG09,1,303
1,203,212,10,1,1,2,B8,BS02,1,214
2,203,212,10,2,2,2,B2,BG02,1,214
1,204,204,10,1,1,3,A1,TS01,1,210
2,204,204,10,2,1,2,B1,BG01,1,204
2,204,211,10,2,7,1,BA312,BS320,1,215
3,204,202,10,3,6,1,BA310,BG310,1,308
2,205,201,10,2,2,2,B6,BG06,1,204
1,206,204,10,1,1,3,A2,TS03,1,204
2,206,204,10,2,1,2,B1,BG01,1,204
1,207,212,10,1,2,3,A6,TS11,1,214
1,208,202,10,1,2,3,A7,TS13,1,210
1,208,202,10,1,2,3,A8,TS15,1,210
2,208,202,10,2,2,2,B3,BG03,1,204
2,208,202,10,2,6,1,BA310,BS316,1,214
1,209,211,10,1,2,3,A14,TS27,1,204
1,209,211,10,1,2,3,A13,TS25,1,210
3,209,202,10,3,2,2,B14,BG08,1,303
1,210,207,10,1,1,3,A11,TS21,1,145
1,212,201,10,1,2,3,A18,TS37,1,214
3,212,202,10,3,2,2,B14,BG08,1,303
1,260,201,10,1,2,3,A17,TS33,1,145
1,260,201,10,1,2,3,A16,TS31,1,210
2,260,212,10,2,6,1,BA303,BS305,2,214
2,102,101,12,2,2,2,B9,BG03,1,303
1,105,161,12,1,1,2,B6,BS06,1,215
2,105,109,12,2,6,2,BAX02,BGX02,1,303
2,107,109,12,2,6,1,BAX01,BGX01,1,303
1,108,106,12,1,1,2,B2,BS02,1,215
2,108,109,12,2,6,2,BAX02,BGX02,1,303
2,108,161,12,2,2,2,B22,BG22,1,303
2,109,101,12,2,2,2,B9,BG03,1,303
1,111,106,12,1,1,2,B2,BS02,1,215
1,112,161,12,1,1,2,B6,BS06,1,215
1,161,106,12,1,1,2,B2,BS02,1,215
2,161,101,12,2,2,2,B9,BG03,1,303
1,502,506,12,1,3,2,BAX02,BSX02,2,202
1,502,565,12,1,3,1,BA501,BS304,2,202
1,502,1030,12,1,1,1,BA*,BS**,1,202
3,502,1030,12,3,1,2,TP1,BG55,1,308
1,504,563,12,1,1,2,TP3,BS57,1,202
1,504,1030,12,1,1,2,TP1,BS55,1,202
2,504,503,12,2,3,1,BAX03,BGX01,2,304
2,504,504,12,2,3,1,BAX05,BGX03,2,304
1,505,506,12,1,3,2,BAX02,BSX02,2,202
1,505,508,12,1,3,2,BA303,BS303,2,202
1,505,1030,12,1,1,1,BA*,BS**,1,202
2,505,1030,12,2,1,1,BA**,BG**,1,309
3,505,1030,12,3,1,2,TP1,BG55,1,308
1,506,563,12,1,1,2,TP3,BS57,1,202
2,506,1030,12,2,1,2,TP1,BG56,1,309
3,506,503,12,3,1,1,TP1,BG55,1,304
3,506,504,12,3,3,1,BAX07,BGX05,2,303
3,506,506,12,3,3,2,BAX06,BGX04,2,303
3,506,1030,12,3,1,1,BA*,BG**,1,308
1,507,1030,12,1,1,2,TP1,BS55,1,202
2,507,1030,12,2,1,2,TP1,BG56,1,309
3,507,503,12,3,3,1,BAX08,BGX06,2,303
3,507,506,12,3,3,2,BAX06,BGX04,2,303
3,507,563,12,3,1,2,TP3,BG59,1,303
1,508,503,12,1,3,1,BAX01,BSX01,2,202
2,509,503,12,2,3,1,BAX03,BGX01,2,304
2,509,506,12,2,3,2,BAX04,BGX02,2,304
1,561,1030,12,1,1,1,BA*,BS**,1,202
3,561,503,12,3,3,1,BAX08,BGX06,2,303
3,561,504,12,3,3,1,BAX07,BGX05,2,303
1,212,211,6,1,1,1,B7,BS07,1,214
1,501,508,6,1,3,1,BA080*,BS080*,3,255
2,501,505,6,2,1,2,BA4,BG02,1,304
2,501,560,6,2,1,1,BA8,BG02,1,304
1,502,505,6,1,1,2,BA4,BS02,1,255
1,502,505,6,1,1,2,BA3,BS01,1,214
1,502,561,6,1,1,2,TP3,BS93,1,214
2,502,501,6,2,1,1,BA2,BG02,1,302
2,502,508,6,2,3,1,BA080*,BG080*,3,304
2,502,560,6,2,1,1,BA8,BG02,1,304
2,502,564,6,2,1,2,BA10,BG02,1,304
1,503,505,6,1,1,2,BA3,BS01,1,214
1,504,501,6,1,1,1,BA1,BS01,1,214
2,504,501,6,2,1,1,BA2,BG02,1,302
2,504,509,6,2,1,2,BA6,BG02,1,302
2,504,561,6,2,1,2,TP3,BG92,1,304
1,505,504,6,1,3,2,BA040*,BS040*,3,215
1,505,507,6,1,1,2,TP2,BS93,1,214
1,505,508,6,1,3,1,BA080*,BS080*,3,255
1,505,560,6,1,1,1,BA8,BS02,1,215
2,505,508,6,2,3,1,BA080*,BG080*,3,304
2,505,568,6,2,1,1,BA12,BG02,1,304
1,506,501,6,1,1,1,BA2,BS02,1,214
1,506,508,6,1,3,1,BA080*,BS080*,3,255
1,506,561,6,1,1,2,TP3,BS93,1,214
1,506,566,6,1,1,2,TP4,BS92,1,214
2,506,501,6,2,1,1,BA2,BG02,1,302
2,506,502,6,2,1,2,TP1,BG92,1,302
2,506,505,6,2,1,2,BA3,BG01,1,304
1,507,505,6,1,1,2,BA3,BS01,1,214
2,507,502,6,2,3,1,BA020*,BG020*,4,304
2,507,502,6,2,1,2,TP1,BG92,1,302
1,508,501,6,1,1,1,BA2,BS02,1,214
1,508,504,6,1,3,2,BA040*,BS040*,3,215
1,508,507,6,1,1,2,TP2,BS93,1,214
1,508,560,6,1,1,1,BA8,BS02,1,215
2,508,501,6,2,1,1,BA1,BG01,1,302
2,508,502,6,2,3,1,BA020*,BG020*,4,304
2,508,566,6,2,1,2,TP4,BG91,1,304
1,509,504,6,1,3,2,BA040*,BS040*,3,215
1,509,505,6,1,1,2,BA3,BS01,1,214
1,509,509,6,1,1,2,BA6,BS02,1,214
2,509,502,6,2,3,1,BA020*,BG020*,4,304
2,509,508,6,2,3,1,BA080*,BG080*,3,304
2,509,566,6,2,1,2,TP4,BG91,1,304
2,509,568,6,2,1,1,BA11,BG01,1,304
1,560,502,6,1,1,2,TP1,BS93,1,204
1,560,505,6,1,1,2,BA4,BS02,1,255
1,560,509,6,1,1,2,BA5,BS01,1,216
2,560,504,6,2,3,2,BA040*,BG040*,3,304
2,560,505,6,2,1,2,BA4,BG02,1,304
2,560,561,6,2,1,2,TP3,BG92,1,304
1,561,502,6,1,3,1,BA020*,BS020*,4,215
1,561,507,6,1,1,2,TP2,BS93,1,214
1,960,902,9,1,1,2,A02A02,BS02A02,1,203
2,960,903,9,2,1,2,A02A03,BG04A03,1,203
2,960,960,9,2,1,1,A01A60,BG03A60,1,203
3,960,960,9,3,1,2,A02A60,BG02A60,1,308
3,960,962,9,3,1,2,A02A62,BG02A62,1,308
1,961,962,9,1,1,1,A01A62,BS01A62,1,203
2,961,901,9,2,1,2,A02A01,BG04A01,1,203
2,961,903,9,2,1,2,A02A03,BG04A03,1,203
2,961,961,9,2,1,2,A02A61,BG04A61,1,203
3,961,903,9,3,1,2,A02A03,BG02A03,1,308
3,961,961,9,3,1,2,A02A61,BG02A61,1,308
3,961,962,9,3,1,1,A01A62,BG01A62,1,308
1,962,903,9,1,1,1,A01A03,BS01A03,1,203
2,962,901,9,2,1,2,A02A01,BG04A01,1,203
2,962,903,9,2,1,2,A02A03,BG04A03,1,203
3,962,901,9,3,1,1,A01A01,BG01A01,1,308
3,962,903,9,3,1,1,A01A03,BG01A03,1,308
1,1803,1803,9,1,3,2,BA5,BS02,3,145
2,1803,1803,9,2,3,2,BA4,BG02,3,303
2,5001,5001,9,2,1,1,BX02,BGX02,1,302
1,102,104,10,1,1,3,A19,TS37,1,145
2,102,102,10,2,1,3,A5,TS09,1,145
2,102,104,10,2,2,2,BAX09,BSX09,2,205
3,102,102,10,3,1,2,B15,BG01,1,303
1,103,102,10,1,1,3,A6,TS11,1,200
1,103,102,10,1,1,1,B2,BS02,1,145
1,103,107,10,1,1,3,A1,TS01,1,200
1,103,112,10,1,1,1,B4,BS04,1,294
2,103,159,10,2,1,3,A17,TS33,1,204
1,104,102,10,1,1,3,A4,TS07,1,200
1,104,107,10,1,1,3,A1,TS01,1,200
1,104,112,10,1,1,1,B4,BS04,1,294
1,105,102,10,1,1,3,A4,TS07,1,200
1,105,103,10,1,1,3,A7,TS13,1,200
1,105,103,10,1,1,1,B3,BS03,1,135
2,105,102,10,2,1,2,B9,BS09,1,204
2,105,103,10,2,1,1,A9,TS17,1,145
2,105,159,10,2,1,3,A17,TS33,1,204
3,105,159,10,3,1,2,B17,BG03,1,303
1,106,103,10,1,1,1,B3,BS03,1,135
1,107,104,10,1,1,1,B7,BS07,1,214
1,107,107,10,1,1,1,B1,BS01,1,214
1,107,112,10,1,1,3,A11,TS22,1,145
2,107,111,10,2,2,2,BAX08,BSX08,2,214
2,561,504,6,2,3,2,BA040*,BG040*,3,304
2,561,564,6,2,1,2,BA9,BG01,1,304
1,566,502,6,1,1,2,TP1,BS93,1,204
1,566,502,6,1,3,1,BA020*,BS020*,4,215
1,566,508,6,1,3,1,BA080*,BS080*,3,255
2,566,501,6,2,1,1,BA1,BG01,1,302
2,566,505,6,2,1,2,BA4,BG02,1,304
2,566,505,6,2,1,2,BA3,BG01,1,304
2,566,507,6,2,1,2,TP2,BG92,1,302
2,567,501,6,2,1,1,BA2,BG02,1,302
2,567,502,6,2,3,1,BA020*,BG020*,4,304
2,567,505,6,2,1,2,BA4,BG02,1,304
2,567,566,6,2,1,2,TP4,BG91,1,304
2,568,507,6,2,1,2,TP2,BG92,1,302
2,568,568,6,2,1,1,BA12,BG02,1,304
1,569,505,6,1,1,2,BA4,BS02,1,255
1,569,507,6,1,1,2,TP2,BS93,1,214
1,569,560,6,1,1,1,BA8,BS02,1,215
2,569,507,6,2,1,2,TP2,BG92,1,302
2,569,509,6,2,1,2,BA5,BG01,1,304
2,569,560,6,2,1,1,BA8,BG02,1,304
2,569,568,6,2,1,1,BA11,BG01,1,304
1,570,509,6,1,1,2,BA6,BS02,1,214
2,570,502,6,2,1,2,TP1,BG92,1,302
2,570,504,6,2,3,2,BA040*,BG040*,3,304
2,570,566,6,2,1,2,TP4,BG91,1,304
1,571,501,6,1,1,1,BA1,BS01,1,214
2,571,502,6,2,3,1,BA020*,BG020*,4,304
2,571,502,6,2,1,2,TP1,BG92,1,302
2,571,505,6,2,1,2,BA4,BG02,1,304
1,602,660,6,1,3,1,BA261,BS261,8,205
1,604,660,6,1,3,1,BA261,BS261,8,205
1,604,3005,6,1,1,2,BA*,BS**,1,265
1,606,659,6,1,3,1,BA262,BS262,4,211
1,607,606,6,1,3,2,BAX01,BSX01,6,215
1,607,661,6,1,3,1,BA263,BS263,7,265
1,607,3005,6,1,1,1,BA*,BS**,1,265
1,608,662,6,1,3,2,BAX02,BSX02,5,253
1,663,663,6,1,3,1,BA266,BS266,10,215
1,664,660,6,1,3,1,BA261,BS261,8,205
1,812,811,6,1,3,1,BA664,BS664,2,204
2,1253,1253,6,2,1,1,BA*,BG**,1,304
1,2002,2002,6,1,1,2,TP1,BS92,1,267
1,2038,2038,6,1,1,2,TP1,BS92,1,216
2,2038,2038,6,2,1,1,BA*,BG**,1,308
1,3017,3017,6,1,1,2,BA*,BS**,1,261
1,3017,3017,6,1,1,1,BA*,BS**,1,215
2,3019,3019,6,2,1,2,BA*,BG**,1,307
2,3024,3024,6,2,1,2,BA*,BG**,1,308
2,3024,3024,6,2,1,1,BA*,BG**,1,308
1,3030,3030,6,1,1,1,BA*,BS**,1,267
1,7493,7493,6,1,1,1,BA*,BS**,1,215
1,8150,8150,6,1,1,2,TP1,BS92,1,214
1,9107,9107,6,1,1,2,BA*,BS**,1,265
1,A310,1253,6,1,1,2,TP1,BS92,1,265
2,A321,1253,6,2,1,2,TP1,BG91,1,304
2,A340,1253,6,2,1,2,TP1,BG91,1,304
